Etiqueta	Muestras	Media	Mediana	90%	95%	99%	Min	Max	%Error	Rendimiento	KB/sec	SentKB/Sec
P1-base	1000	50	49	70	72	77	7	2279	0.0	19.55072435433733	25.06326492209036	0.0
P1-ws	1000	69	48	104	123	233	33	3033	0.0	14.350702466885753	18.580992449736662	0.0
P1-ejb	1000	46	32	91	99	115	9	3191	0.0	21.39678192399863	16.467080382360493	0.0
Total	3000	55	45	91	102	144	7	3191	0.0	17.902111255654084	19.96888435907458	0.0

Etiqueta	Muestras	Media	Mediana	90%	95%	99%	Min	Max	%Error	Rendimiento	KB/sec	SentKB/Sec
P1-base	1000	27	18	65	67	70	4	73	0.0	36.14022406938923	46.369425088091795	0.0
P1-ws	1000	50	40	88	97	123	32	328	0.0	19.585952954541003	25.359486395107428	0.0
P1-ejb	1000	20	14	26	32	68	8	3348	0.0	49.04845987835982	37.74796295615067	0.0
Total	3000	32	26	66	81	106	4	3348	0.0	30.265122472862274	33.770093598043864	0.0
